Year,Weeknum,numberOfSKUs
2008,14,191
2008,15,217
2008,16,210
2008,17,190
2008,18,219
2008,19,204
2008,20,192
2008,21,192
2008,22,185
2008,23,227
2008,24,202
2008,25,184
2008,26,198
2008,27,205
2008,28,213
2008,29,195
2008,30,223
2008,31,200
2008,32,223
2008,33,193
2008,34,210
2008,35,213
2008,36,212
2008,37,193
2008,38,211
2008,39,215
2008,40,184
2008,41,200
2008,42,181
2008,43,167
2008,44,204
2008,45,202
2008,46,184
2008,47,186
2008,48,171
2008,49,181
2008,50,176
2008,51,176
2008,52,176
2008,53,157
2009,2,164
2009,3,180
2009,4,178
2009,5,163
2009,6,180
2009,7,165
2009,8,160
2009,9,161
2009,10,166
2009,11,162
2009,12,151
2009,13,165
2009,14,157
2009,15,161
2009,16,184
2009,17,170
2009,18,171
2009,19,166
2009,20,172
2009,21,163
2009,22,148
2009,23,160
2009,24,180
2009,25,171
2009,26,155
2009,27,163
2009,28,179
2009,29,176
2009,30,184
2009,31,151
2009,32,180
2009,33,169
2009,34,164
2009,35,169
2009,36,164
2009,37,155
2009,38,163
2009,39,158
2009,40,155
2009,41,176
2009,42,159
2009,43,162
2009,44,158
2009,45,167
2009,46,165
2009,47,163
2009,48,137
2009,49,171
2009,50,167
2009,51,160
2009,52,120
2009,53,158
2010,2,157
2010,3,162
2010,4,155
2010,5,150
2010,6,166
2010,7,158
2010,8,141
2010,9,141
2010,10,155
2010,11,153
2010,12,140
2010,13,142
2010,14,140
2010,15,163
2010,16,147
2010,17,161
2010,18,147
2010,19,164
2010,20,164
2010,21,162
2010,22,166
2010,23,160
2010,24,169
2010,25,158
2010,26,162
2010,27,163
2010,28,161
2010,29,166
2010,30,157
2010,31,163
2010,32,159
2010,33,156
2010,34,158
2010,35,163
2010,36,155
2010,37,156
2010,38,151
2010,39,158
2010,40,135
2010,41,142
2010,42,139
2010,43,146
2010,44,137
2010,45,154
2010,46,141
2010,47,141
2010,48,139
2010,49,147
2010,50,159
2010,51,160
2010,52,120
2010,53,140
2011,2,159
2011,3,156
2011,4,152
2011,5,151
2011,6,143
2011,7,132
2011,8,147
2011,9,157
2011,10,150
2011,11,143
2011,12,138
2011,13,148
2011,14,135
2011,15,148
2011,16,144
2011,17,136
2011,18,142
2011,19,155
2011,20,154
2011,21,143
2011,22,152
2011,23,137
2011,24,160
2011,25,161
2011,26,157
2011,27,173
2011,28,172
2011,29,157
2011,30,158
2011,31,149
2011,32,149
2011,33,148
2011,34,148
2011,35,145
2011,36,153
2011,37,145
2011,38,153
2011,39,140
2011,40,135
2011,41,129
2011,42,132
2011,43,137
2011,44,132
2011,45,159
2011,46,148
2011,47,150
2011,48,129
2011,49,131
2011,50,141
2011,51,132
2011,52,133
2011,53,141
2012,1,132
2012,2,144
2012,3,147
2012,4,143
2012,5,166
2012,6,154
2012,7,138
2012,8,151
2012,9,143
2012,10,151
2012,11,142
