Year,Weeknum,numberOfSKUs
2010,41,142
2010,42,139
2010,43,146
2010,44,137
2010,45,154
2010,46,141
2010,47,141
2010,48,139
2010,49,147
2010,50,159
2010,51,160
2010,52,120
2010,53,140
2011,2,159
2011,3,156
2011,4,152
2011,5,151
2011,6,143
2011,7,132
2011,8,147
2011,9,157
2011,10,150
2011,11,143
2011,12,138
2011,13,148
2011,14,135
2011,15,148
2011,16,144
2011,17,136
2011,18,142
2011,19,155
2011,20,154
2011,21,143
2011,22,152
2011,23,137
2011,24,160
2011,25,161
2011,26,157
2011,27,173
2011,28,172
2011,29,157
2011,30,158
2011,31,149
2011,32,149
2011,33,148
2011,34,148
2011,35,145
2011,36,153
2011,37,145
2011,38,153
2011,39,140
2011,40,135
2011,41,129
2011,42,132
2011,43,137
2011,44,132
2011,45,159
2011,46,148
2011,47,150
2011,48,129
2011,49,131
2011,50,141
2011,51,132
2011,52,133
2011,53,141
2012,1,132
2012,2,144
2012,3,147
2012,4,143
2012,5,166
2012,6,154
2012,7,138
2012,8,151
2012,9,143
2012,10,151
2012,11,142
2012,12,127
2012,13,104
2012,14,116
2012,15,111
2012,16,108
2012,17,114
2012,18,118
2012,19,124
2012,20,125
2012,21,128
2012,22,117
2012,23,124
2012,24,125
2012,25,124
2012,26,116
2012,27,119
2012,28,121
2012,29,132
2012,30,130
2012,31,134
2012,32,132
2012,33,144
2012,34,149
2012,35,153
2012,36,154
2012,37,160
2012,38,148
2012,39,154
2012,40,152
2012,41,165
2012,42,156
2012,43,162
2012,44,162
2012,45,168
2012,46,162
2012,47,152
2012,48,168
2012,49,163
2012,50,175
2012,51,169
2012,52,165
2013,1,167
2013,2,171
2013,3,166
2013,4,160
2013,5,156
2013,6,159
2013,7,159
2013,8,163
2013,9,155
2013,10,157
2013,11,153
2013,12,150
2013,13,138
2013,14,157
2013,15,150
2013,16,144
2013,17,154
2013,18,160
2013,19,162
2013,20,163
2013,21,174
2013,22,173
2013,23,182
2013,24,185
2013,25,187
2013,26,194
2013,27,187
2013,28,172
2013,29,185
2013,30,188
2013,31,187
2013,32,189
2013,33,184
2013,34,184
2013,35,185
2013,36,177
2013,37,171
2013,38,186
2013,39,176
2013,40,179
2013,41,184
2013,42,180
2013,43,178
2013,44,183
2013,45,174
2013,46,176
2013,47,184
2013,48,166
2013,49,190
2013,50,191
2013,51,190
2013,52,184
2014,1,193
2014,2,194
2014,3,194
2014,4,198
2014,5,193
2014,6,547
2014,7,189
2014,8,189
2014,9,189
2014,10,576
2014,11,188
2014,12,188
2014,13,188
2014,14,179
2014,15,177
2014,16,178
2014,17,194
2014,18,191
2014,19,188
2014,20,184
2014,21,178
2014,22,178
2014,23,176
2014,24,185
2014,25,184
2014,26,180
2014,27,164
2014,28,186
2014,29,183
2014,30,183
2014,31,186
2014,32,182
2014,33,192
2014,34,192
2014,35,188
2014,36,199
2014,37,187
2014,38,192
2014,39,183
2014,40,190
2014,41,189
2014,42,186
2014,43,190
2014,44,180
2014,45,183
2014,46,188
2014,47,190
2014,48,182
2014,49,197
2014,50,196
2014,51,193
2014,52,186
2015,1,188
2015,2,191
2015,3,189
2015,4,189
2015,5,189
2015,6,568
2015,7,198
2015,8,198
2015,9,198
2015,10,583
2015,11,370
2015,12,370
2015,13,370
2015,14,370
2015,15,195
2015,16,195
2015,17,191
2015,18,193
2015,19,187
2015,20,182
2015,21,184
2015,22,175
2015,23,188
2015,24,188
2015,25,188
2015,26,202
2015,27,184
2015,28,191
2015,29,193
2015,30,182
2015,31,186
2015,32,188
2015,33,189
2015,34,188
2015,35,192
2015,36,189
2015,37,184
2015,38,179
2015,39,191
2015,40,186
2015,41,194
2015,42,185
2015,43,189
2015,44,192
