Year,Week Index,Bounce Rate,% Exit
2010,41,48.41%,34.81%
2010,42,25.44%,17.80%
2010,43,28.81%,18.26%
2010,44,25.73%,17.63%
2010,45,27.62%,18.04%
2010,46,27.04%,17.87%
2010,47,28.63%,18.31%
2010,48,27.07%,18.43%
2010,49,26.81%,17.64%
2010,50,28.73%,17.85%
2010,51,28.30%,18.22%
2010,52,27.93%,18.39%
2010,53,25.68%,17.12%
2011,1,26.04%,17.52%
2011,2,26.68%,17.42%
2011,3,27.93%,18.20%
2011,4,41.41%,21.37%
2011,5,29.99%,18.51%
2011,6,28.42%,17.83%
2011,7,27.83%,18.04%
2011,8,28.68%,18.29%
2011,9,28.63%,18.20%
2011,10,28.48%,18.39%
2011,11,28.26%,18.26%
2011,12,27.17%,17.66%
2011,13,26.55%,17.67%
2011,14,26.16%,18.02%
2011,15,29.59%,19.28%
2011,16,27.50%,18.07%
2011,17,27.02%,18.43%
2011,18,27.03%,18.35%
2011,19,26.58%,18.04%
2011,20,27.19%,17.47%
2011,21,28.84%,18.37%
2011,22,27.95%,17.98%
2011,23,27.30%,18.60%
2011,24,27.94%,18.45%
2011,25,29.43%,18.91%
2011,26,29.01%,19.46%
2011,27,30.03%,20.16%
2011,28,29.62%,19.86%
2011,29,29.99%,20.20%
2011,30,30.12%,20.63%
2011,31,30.13%,20.12%
2011,32,34.77%,22.29%
2011,33,36.96%,24.06%
2011,34,35.60%,23.69%
2011,35,35.02%,23.08%
2011,36,35.18%,23.23%
2011,37,35.84%,23.47%
2011,38,36.89%,23.57%
2011,39,36.08%,23.30%
2011,40,37.50%,24.23%
2011,41,37.65%,24.59%
2011,42,37.79%,24.55%
2011,43,39.39%,24.96%
2011,44,38.10%,24.06%
2011,45,37.58%,24.63%
2011,46,38.95%,25.23%
2011,47,39.13%,25.23%
2011,48,39.82%,24.35%
2011,49,39.45%,25.45%
2011,50,41.58%,25.96%
2011,51,41.57%,26.51%
2011,52,41.25%,26.33%
2012,1,37.95%,24.89%
2012,2,40.77%,26.22%
2012,3,43.13%,26.93%
2012,4,36.70%,24.92%
2012,5,37.49%,25.00%
2012,6,38.27%,24.85%
2012,7,38.15%,25.20%
2012,8,38.33%,24.83%
2012,9,37.03%,24.80%
2012,10,39.54%,25.69%
2012,11,39.12%,25.28%
2012,12,40.16%,25.82%
2012,13,37.31%,24.40%
2012,14,39.46%,25.19%
2012,15,38.67%,25.26%
2012,16,38.97%,25.22%
2012,17,37.35%,25.00%
2012,18,39.23%,25.61%
2012,19,38.54%,24.98%
2012,20,38.63%,25.62%
2012,21,34.95%,24.36%
2012,22,35.44%,24.16%
2012,23,37.50%,25.10%
2012,24,36.75%,25.13%
2012,25,38.70%,25.86%
2012,26,42.32%,27.32%
2012,27,45.22%,28.68%
2012,28,44.71%,28.47%
2012,29,43.30%,27.94%
2012,30,43.11%,27.98%
2012,31,42.54%,26.99%
2012,32,42.80%,27.34%
2012,33,41.61%,26.80%
2012,34,40.80%,26.86%
2012,35,40.34%,26.46%
2012,36,40.48%,26.05%
2012,37,38.73%,24.96%
2012,38,38.92%,24.91%
2012,39,39.02%,24.57%
2012,40,40.02%,24.94%
2012,41,38.21%,24.59%
2012,42,39.18%,25.15%
2012,43,38.68%,24.99%
2012,44,38.52%,24.34%
2012,45,37.45%,23.47%
2012,46,38.42%,23.43%
2012,47,38.60%,23.36%
2012,48,36.99%,22.28%
2012,49,39.67%,23.77%
2012,50,39.02%,23.40%
2012,51,38.94%,23.42%
2012,52,40.67%,24.33%
2013,1,37.57%,23.08%
2013,2,38.61%,23.69%
2013,3,37.93%,23.74%
2013,4,37.45%,23.84%
2013,5,44.80%,26.42%
2013,6,41.12%,25.05%
2013,7,41.03%,24.70%
2013,8,42.26%,25.54%
2013,9,39.62%,24.39%
2013,10,39.10%,24.74%
2013,11,40.02%,24.42%
2013,12,38.70%,23.88%
2013,13,39.18%,23.97%
2013,14,37.81%,24.23%
2013,15,40.36%,24.62%
2013,16,37.22%,23.26%
2013,17,29.77%,16.61%
2013,18,35.39%,22.14%
2013,19,36.12%,22.74%
2013,20,36.90%,22.98%
2013,21,37.13%,22.64%
2013,22,37.25%,22.65%
2013,23,40.17%,24.21%
2013,24,40.41%,24.52%
2013,25,39.86%,24.77%
2013,26,38.25%,24.05%
2013,27,39.20%,22.88%
2013,28,40.16%,24.31%
2013,29,41.08%,25.24%
2013,30,41.17%,24.89%
2013,31,40.90%,25.01%
2013,32,43.06%,25.89%
2013,33,38.87%,24.50%
