Year,Week Index,Sessions
2010,41,"16,908"
2010,42,"16,853"
2010,43,"24,947"
2010,44,"23,292"
2010,45,"22,912"
2010,46,"26,727"
2010,47,"26,849"
2010,48,"28,408"
2010,49,"30,014"
2010,50,"27,277"
2010,51,"28,505"
2010,52,"24,061"
2010,53,"28,245"
2011,1,"27,779"
2011,2,"26,154"
2011,3,"28,274"
2011,4,"31,627"
2011,5,"25,677"
2011,6,"24,770"
2011,7,"23,065"
2011,8,"24,178"
2011,9,"23,565"
2011,10,"23,059"
2011,11,"20,845"
2011,12,"20,946"
2011,13,"21,010"
2011,14,"20,424"
2011,15,"23,611"
2011,16,"20,809"
2011,17,"19,519"
2011,18,"19,880"
2011,19,"19,651"
2011,20,"20,365"
2011,21,"22,833"
2011,22,"19,657"
2011,23,"18,985"
2011,24,"19,902"
2011,25,"21,664"
2011,26,"19,824"
2011,27,"20,327"
2011,28,"21,220"
2011,29,"23,479"
2011,30,"23,255"
2011,31,"22,253"
2011,32,"26,817"
2011,33,"27,343"
2011,34,"28,937"
2011,35,"25,919"
2011,36,"27,385"
2011,37,"26,466"
2011,38,"26,496"
2011,39,"24,250"
2011,40,"23,169"
2011,41,"25,885"
2011,42,"25,602"
2011,43,"27,851"
2011,44,"27,515"
2011,45,"30,173"
2011,46,"31,243"
2011,47,"32,755"
2011,48,"39,318"
2011,49,"35,817"
2011,50,"35,612"
2011,51,"31,561"
2011,52,"37,284"
2012,1,"34,134"
2012,2,"32,835"
2012,3,"34,155"
2012,4,"29,148"
2012,5,"30,314"
2012,6,"29,740"
2012,7,"31,379"
2012,8,"30,702"
2012,9,"28,426"
2012,10,"31,512"
2012,11,"28,732"
2012,12,"28,334"
2012,13,"27,446"
2012,14,"26,972"
2012,15,"26,407"
2012,16,"27,111"
2012,17,"26,583"
2012,18,"27,814"
2012,19,"25,996"
2012,20,"25,090"
2012,21,"24,002"
2012,22,"23,598"
2012,23,"25,669"
2012,24,"25,451"
2012,25,"26,153"
2012,26,"30,167"
2012,27,"31,554"
2012,28,"32,483"
2012,29,"30,946"
2012,30,"31,454"
2012,31,"30,849"
2012,32,"33,520"
2012,33,"34,576"
2012,34,"32,911"
2012,35,"30,910"
2012,36,"33,923"
2012,37,"30,357"
2012,38,"29,772"
2012,39,"29,403"
2012,40,"29,637"
2012,41,"26,988"
2012,42,"27,678"
2012,43,"25,501"
2012,44,"26,704"
2012,45,"26,959"
2012,46,"27,212"
2012,47,"31,641"
2012,48,"36,288"
2012,49,"35,890"
2012,50,"34,893"
2012,51,"32,015"
2012,52,"34,426"
2013,1,"34,356"
2013,2,"32,661"
2013,3,"31,105"
2013,4,"30,898"
2013,5,"32,952"
2013,6,"31,402"
2013,7,"29,641"
2013,8,"32,417"
2013,9,"30,367"
2013,10,"29,346"
2013,11,"30,016"
2013,12,"27,437"
2013,13,"27,056"
2013,14,"25,285"
2013,15,"27,612"
2013,16,"25,346"
2013,17,"26,781"
2013,18,"24,897"
2013,19,"24,253"
2013,20,"24,060"
2013,21,"25,864"
2013,22,"26,307"
2013,23,"30,037"
2013,24,"29,605"
2013,25,"29,976"
2013,26,"29,678"
2013,27,"29,173"
2013,28,"31,557"
2013,29,"32,270"
2013,30,"34,836"
2013,31,"33,516"
2013,32,"34,776"
2013,33,"32,828"
2013,34,"33,412"
2013,35,"32,490"
2013,36,"31,756"
2013,37,"31,548"
2013,38,"31,488"
2013,39,"29,731"
2013,40,"30,886"
2013,41,"30,546"
2013,42,"31,995"
2013,43,"30,626"
2013,44,"30,577"
2013,45,"35,367"
2013,46,"36,316"
2013,47,"38,360"
2013,48,"37,411"
2013,49,"45,520"
2013,50,"46,108"
2013,51,"40,862"
2013,52,"39,991"
2014,1,"42,726"
2014,2,"43,120"
2014,3,"43,492"
2014,4,"41,889"
2014,5,"40,721"
2014,6,"39,787"
2014,7,"40,045"
2014,8,"37,361"
2014,9,"39,993"
2014,10,"39,430"
2014,11,"38,029"
2014,12,"37,756"
2014,13,"38,079"
2014,14,"34,556"
2014,15,"31,879"
2014,16,"31,263"
2014,17,"31,404"
2014,18,"32,716"
2014,19,"31,088"
2014,20,"30,359"
2014,21,"31,008"
2014,22,"29,748"
2014,23,"31,846"
2014,24,"33,059"
2014,25,"31,522"
2014,26,"32,154"
2014,27,"31,026"
2014,28,"34,060"
2014,29,"34,897"
2014,30,"34,883"
2014,31,"35,490"
2014,32,"37,023"
2014,33,"37,359"
2014,34,"36,042"
2014,35,"35,014"
2014,36,"34,984"
2014,37,"35,242"
